Topics,Coherence
2,0.12169090037547611
3,0.1657100183685821
4,0.20406350899350745
5,0.22896685410746062
6,0.24407480651762603
7,0.27117456210517277
8,0.24613284850834982
9,0.2890198611263864
10,0.29546761816253364
11,0.30675354738759375
12,0.29503577982148893
13,0.29171319452174677
14,0.3092419407519718
15,0.31655955495693866
16,0.32209609110918586
17,0.31646481530968334
18,0.309504356640755
19,0.3317084864751587
