id,topic,score
1,13,0.3298790156841278
2,15,0.7453746795654297
3,15,0.625239372253418
4,1,0.2948283851146698
5,14,0.6427785754203796
6,11,0.5065872669219971
7,15,0.4905861020088196
8,0,0.32690340280532837
9,9,0.7708697319030762
10,15,0.41996678709983826
11,1,0.7038798332214355
12,6,0.6640855073928833
13,15,0.709193766117096
14,15,0.49624502658843994
15,15,0.6445345282554626
16,15,0.5972833037376404
17,15,0.6445556282997131
18,6,0.5039275884628296
19,15,0.5917335152626038
20,15,0.36431244015693665
21,12,0.4718078076839447
22,15,0.7629178166389465
23,6,0.4968182444572449
24,15,0.4573518931865692
25,15,0.7193025350570679
26,15,0.70334392786026
27,15,0.7530531883239746
28,15,0.6333606243133545
29,0,0.3799629509449005
30,15,0.7316645383834839
31,15,0.7352181077003479
32,7,0.7512649297714233
33,15,0.7341228127479553
34,4,0.27538639307022095
35,15,0.373557984828949
36,15,0.6569805145263672
37,14,0.6852496862411499
38,15,0.36049774289131165
39,10,0.45878201723098755
40,15,0.39792969822883606
41,9,0.42133376002311707
42,7,0.29825395345687866
43,15,0.38844698667526245
44,1,0.4171452820301056
45,1,0.5570496916770935
46,1,0.5282835364341736
47,15,0.7494305372238159
48,13,0.41343528032302856
49,0,0.618230402469635
50,15,0.37853288650512695
51,1,0.3677347004413605
52,15,0.751818060874939
53,1,0.505193293094635
54,0,0.40525537729263306
55,14,0.7677579522132874
56,15,0.6874306201934814
57,15,0.7900573015213013
58,1,0.40804189443588257
59,7,0.49725648760795593
60,15,0.39631256461143494
61,0,0.4336339831352234
62,15,0.5008149743080139
63,15,0.6689889430999756
64,15,0.35955026745796204
65,0,0.672650933265686
66,0,0.5949194431304932
67,15,0.6685901880264282
68,15,0.38680383563041687
69,11,0.33821821212768555
70,1,0.45724233984947205
71,6,0.32726600766181946
72,15,0.39303573966026306
73,15,0.7044755816459656
74,13,0.5784003734588623
75,1,0.3917909264564514
76,9,0.4888007938861847
77,13,0.2646637558937073
78,2,0.48044586181640625
79,1,0.538453996181488
80,13,0.26408815383911133
81,6,0.4286856949329376
82,13,0.6862577199935913
83,14,0.5552611947059631
84,14,0.5514786839485168
85,1,0.5541223883628845
86,15,0.4101369380950928
87,7,0.6971136331558228
88,15,0.6592010855674744
89,7,0.5864131450653076
90,9,0.5171718597412109
91,1,0.5016092658042908
92,12,0.6164529323577881
93,15,0.3995824456214905
118,15,0.6558986306190491
94,15,0.4914243817329407
95,15,0.4820777177810669
96,15,0.5112012028694153
97,0,0.4504086971282959
98,1,0.5215166211128235
99,15,0.3908678889274597
100,15,0.3944918215274811
101,15,0.6760156750679016
102,15,0.42757925391197205
103,15,0.5480232238769531
104,15,0.7511712908744812
105,13,0.5781750082969666
106,15,0.6417565941810608
107,12,0.36668193340301514
108,9,0.5417920351028442
109,4,0.33827105164527893
110,1,0.4576857388019562
111,14,0.6277393698692322
112,0,0.6932160258293152
113,15,0.591159462928772
114,6,0.47974950075149536
115,15,0.6198664903640747
116,6,0.6268743872642517
117,15,0.4469345808029175
119,15,0.5555252432823181
120,15,0.655562698841095
121,0,0.6461452841758728
